title,score,people_num,quote,description,url,pic
青蛇,8.6,538981,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,,https://movie.douban.com/subject/1303394/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg
恋恋笔记本,8.5,686065,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,,https://movie.douban.com/subject/1309163/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
人工智能,8.7,456557,对爱的执着，可以超越一切。,,https://movie.douban.com/subject/1302827/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
虎口脱险,8.9,264086,永远看不腻的喜剧。,,https://movie.douban.com/subject/1296909/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
终结者2：审判日,8.8,348849,少见的超越首部的续集，动作片中的经典。,,https://movie.douban.com/subject/1291844/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
疯狂的麦克斯4：狂暴之路,8.7,542873,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,,https://movie.douban.com/subject/3592854/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg
罗生门,8.8,322492,人生的N种可能性。,,https://movie.douban.com/subject/1291879/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg
爱乐之城,8.4,953511,,,https://movie.douban.com/subject/25934014/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901102612.jpg
新龙门客栈,8.7,455439,嬉笑怒骂，调风动月。,,https://movie.douban.com/subject/1292287/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg
无耻混蛋,8.7,491478,昆汀同学越来越变态了，比北野武还杜琪峰。,,https://movie.douban.com/subject/1438652/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1086394013.jpg
芙蓉镇,9.3,148325,,,https://movie.douban.com/subject/1297880/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174804034.jpg
崖上的波妞,8.6,511478,,,https://movie.douban.com/subject/1959877/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg
千钧一发,8.8,308266,一部能引人思考的科幻励志片。,,https://movie.douban.com/subject/1300117/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg
萤火虫之墓,8.7,410730,幸福是生生不息，却难以触及的远。 ,,https://movie.douban.com/subject/1293318/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg
花束般的恋爱,8.6,657264,,,https://movie.douban.com/subject/34874432/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg
彗星来的那一夜,8.6,598748,小成本大魅力。,,https://movie.douban.com/subject/25807345/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg
奇迹男孩,8.6,560756,世界不完美，爱会有奇迹。,,https://movie.douban.com/subject/26787574/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
哈利·波特与死亡圣器(上),8.5,595594,最忠于原著的一部。,,https://movie.douban.com/subject/2051007/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p721429854.jpg
黑客帝国2：重装上阵,8.7,414978,一个精彩的世界观正在缓缓建立。,,https://movie.douban.com/subject/1304141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg
二十二,8.7,296354,有一些东西不应该被遗忘。,,https://movie.douban.com/subject/26430107/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg
血钻,8.7,388371,每个美丽事物背后都是滴血的现实。,,https://movie.douban.com/subject/1428175/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg
战争之王,8.7,377239,做一颗让别人需要你的棋子。,,https://movie.douban.com/subject/1419936/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg
火星救援,8.5,748158,,,https://movie.douban.com/subject/25864085/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2250098990.jpg
步履不停,8.8,286191,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,,https://movie.douban.com/subject/2222996/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg
房间,8.8,373905,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,,https://movie.douban.com/subject/25724855/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
魂断蓝桥,8.8,284779,中国式内在的美国电影。,,https://movie.douban.com/subject/1293964/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg
千年女优,8.8,277169,爱情是一场没有尽头的虚幻追逐。,,https://movie.douban.com/subject/1307394/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg
白日梦想家,8.6,507789,,,https://movie.douban.com/subject/2133323/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg
谍影重重2,8.7,361282,谁说王家卫镜头很晃？,,https://movie.douban.com/subject/1308767/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg
哈利·波特与凤凰社,8.5,590353,,,https://movie.douban.com/subject/1457217/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443403700.jpg
高山下的花环,9.5,96469,,,https://movie.douban.com/subject/1422283/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.jpg
弱点,8.7,318480,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,,https://movie.douban.com/subject/3552028/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2577248102.jpg
蜘蛛侠：平行宇宙,8.6,684297,,,https://movie.douban.com/subject/26374197/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.jpg
谍影重重,8.6,438365,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,,https://movie.douban.com/subject/1304102/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg
阿飞正传,8.5,521865,王家卫是一种风格，张国荣是一个代表。,,https://movie.douban.com/subject/1305690/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg
朗读者,8.6,460334,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,,https://movie.douban.com/subject/2213597/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg
大红灯笼高高挂,8.8,287681,,,https://movie.douban.com/subject/1293323/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.jpg
再次出发之纽约遇见你,8.6,435903,爱我就给我看你的播放列表。,,https://movie.douban.com/subject/6874403/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg
燃情岁月,8.7,292830,传奇，不是每个人都可以拥有。,,https://movie.douban.com/subject/1295865/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2797313535.jpg
